,Names,R2 1st Wave,RMSE 1st Wave,MAE 1st Wave,R2 2nd Wave,RMSE 2nd Wave,MAE 2nd Wave,R2 3rd+4th Wave,RMSE 3rd+4th Wave,MAE 3rd+4th Wave,R2 All Data,RMSE All Data,MAE All Data
12,"ARIMA(1,1,2)",0.8500442864505714,21712.73111038815,1780.816493385504,0.7912007189483137,122909.96448772884,8777.01854910734,0.8449312165205705,29462.130767854844,2497.4536637212746,0.8724647564223431,299398.6903204568,3822.4519775765866
13,"ARIMA(1,1,3)",0.8735872361040521,19935.55857548866,1720.724641739157,0.8090172642161504,117549.1921553892,8570.891940791085,0.8803911864671288,25875.190393172306,2351.9846271048345,0.8873915776295802,281332.70718711533,3840.2832335850917
14,"ARIMA(1,1,4)",0.8675579107412806,20405.43966849837,1759.4863364356113,0.8365670051468588,108740.78485138394,7701.260951202655,0.8251604669823228,31283.96431357902,2468.3755492839646,0.9023946842370711,261921.72581143767,3727.316334891937
15,"ARIMA(1,2,1)",0.7890631063203036,25751.89650829742,1833.1277424492405,0.7542826859287028,133333.86655688775,9011.684512735643,0.8049497764362308,33042.67426311658,2512.602180454045,0.8646202411781139,308469.0928619381,3777.688897830137
16,"ARIMA(1,2,2)",0.813136608668853,24237.90385908538,1822.7444828824769,0.7649636635384026,130403.75533146487,8497.205912740812,0.8100489885272775,32607.895319200004,2459.9246449053867,0.8709659364511106,301152.84854353376,3746.596753761148
17,"ARIMA(1,2,3)",0.8634718378498215,20717.820561627654,1718.5733319019237,0.8057789186964023,118541.59802952775,8386.48146907934,0.86924998183831,27053.461542352918,2312.948003856973,0.8841458394238475,285358.36350034666,3821.6234644058145
18,"ARIMA(1,2,4)",0.8679054338282023,20378.650528417475,1678.7127608326277,0.8133555932305123,116206.40973958716,8061.844815785385,0.8705397476174445,26919.698255601772,2289.700106753983,0.8825011832385887,287376.68774257984,3838.7570634495537
19,"AR(2,0,0)",0.7946715711113594,25407.23984115039,1845.4788205278817,0.7644847302575466,130536.54951070483,8991.033393357779,0.803825462846383,33137.77014422176,2482.919864737653,0.8704902608083771,301707.42805614177,3801.372844625835
20,"ARMA(2,0,1)",0.8197207767710538,23807.06097832068,1844.7653233404842,0.785516832989566,124571.64532201679,9104.693467619896,0.8096115286368097,32645.421949689684,2501.674245413778,0.8759946209843118,295226.30452650326,3878.125638631626
21,"ARMA(2,0,2)",0.8436901365225717,22167.98082614994,1810.7122521576975,0.7986634228140359,120693.5146381231,8855.279019543323,0.8330208231059487,30572.65255978485,2574.9382012317146,0.8851789848035612,284083.15297939436,3858.6918433069377
22,"ARMA(2,0,3)",0.8254924611484473,23422.866440452286,1968.474426613685,0.7857626357234448,124500.24384733391,9450.819047375608,0.8159240745853709,32099.661977510736,2867.1023339840244,0.8917087562547249,275887.14130238263,3911.9660464514814
23,"ARMA(2,0,4)",0.8478785709711208,21868.960669166532,1729.976660053261,0.8329111055433563,109950.29184948716,7961.068516100474,0.8812760441706309,25779.301287124148,2417.04620068336,0.9036609482524893,260217.18350740496,3825.4191571226215
24,"ARIMA(2,1,1)",0.841472056829651,22324.7116255247,1819.7116936343384,0.7938939483866404,122114.70524036187,8715.141505459478,0.8507643412826518,28902.690099228334,2505.0047309825995,0.8886304676079954,279780.85070733086,3801.0624951101017
25,"ARIMA(2,1,2)",0.8524889310123908,21535.018559852517,1729.3190117576771,0.810566525660121,117071.43884850602,8258.307184922676,0.8981667997244445,23875.18025138695,2194.861464457758,0.9102112303382149,251215.13368498257,3500.324330856459
26,"ARIMA(2,1,3)",0.8649557256787761,20604.924758720623,1731.2121024537632,0.8214281658620992,113665.606446457,8172.154026744033,0.8619618619750703,27797.229270828157,2499.004477719284,0.8912832622316753,276428.61281057645,3817.5392353087354
