,Names,R2 1st Wave,RMSE 1st Wave,MAE 1st Wave,R2 2nd Wave,RMSE 2nd Wave,MAE 2nd Wave,R2 3rd+4th Wave,RMSE 3rd+4th Wave,MAE 3rd+4th Wave,R2 All Data,RMSE All Data,MAE All Data
22,"ARMA(2,0,3)",0.9110261126635368,42774.244874564,7593.658121558996,0.888120351409221,213248.55222689352,45659.42421420539,0.9116671126474493,57040.895418527325,7678.975889967996,0.8930657324371384,682096.2400873998,23699.19800581751
23,"ARMA(2,0,4)",0.9138940764220781,42079.21053276884,7893.625815270366,0.8904725191045074,210994.96613166432,42598.068846310256,0.9120136321833385,56928.903112897475,7692.764261587539,0.8932786638087481,681416.7943634766,23736.600623134083
24,"ARIMA(2,1,1)",0.9474401405041547,32875.93902829772,7478.693508446365,0.8834277191961052,217674.8187214105,43157.63873066598,0.9895130036502059,19653.98768247862,5573.218664407833,0.888492334410538,696529.5854071083,23956.365961531534
25,"ARIMA(2,1,2)",0.9602299084355002,28597.585294331802,6530.694343205415,0.8852831825715525,215935.52133064956,42519.68557402343,0.9897646996578965,19416.699824538184,5536.22808711712,0.8909273936191304,688882.3402011127,23549.00867386266
26,"ARIMA(2,1,3)",0.9600486479752435,28662.680927051613,6316.917558840055,0.8863019347708063,214974.56647146321,44267.65688199568,0.9902961178090286,18905.92274048794,4896.678792140904,0.8931966351121678,681678.6210837672,22860.095016519463
27,"ARIMA(2,1,4)",0.9643075166538908,27091.899215249014,5643.684943766232,0.9143708246965434,186561.24238896664,38910.163969406254,0.9892233336184604,19923.578271663337,5798.470400081915,0.8932718119499355,681438.6686057589,22863.265768894853
28,"ARIMA(2,2,1)",0.9406536445868138,34933.982239652025,7481.198576984675,0.8760136312813807,224490.26618832897,52099.76971834054,0.9836297894790456,24555.69629325776,6202.016720848688,0.8782082553358547,727940.9178124751,21688.08449213727
29,"ARIMA(2,2,2)",0.947367908027869,32898.52180519326,7097.807648359299,0.88536285646872,215860.52180931487,50043.693881227104,0.9861714170719429,22569.08542348522,6021.229016640253,0.8864008898091952,703031.3160897553,24635.613357742117
30,"ARIMA(2,2,3)",0.9502823691774985,31974.68547312453,6874.017106290322,0.8910981863891212,210391.45678922322,50538.55917401072,0.9861693948245127,22570.735578341537,5887.545148538186,0.8891357172983196,694517.2416639035,25224.54359955886
31,"ARIMA(2,2,4)",0.9500488579370756,32049.686050009335,7657.663081684777,0.8774530379734788,223183.36397574784,54819.943840690576,0.9861462061420673,22589.648938138198,5955.908861578688,0.8913957140287302,687401.8369000161,24776.678672250993
32,"AR(3,0,0)",0.8997676078887096,45399.92298569622,8743.643959181127,0.8527628546964415,244635.36448912637,47694.91189165731,0.9103346622200433,57469.4995863952,8365.999039171738,0.891566116261527,686862.3517886956,24179.160505263164
33,"ARMA(3,0,1)",0.900105307329108,45323.37854894034,8339.91314815439,0.8790179527749085,221753.76859658232,45640.523959072685,0.9101544043228862,57527.23722605877,8285.749766784433,0.8917661194648727,686228.6104235483,24154.38738621137
34,"ARMA(3,0,2)",0.9022109588139796,44843.155220664696,8586.53983489671,0.8807537807645501,220157.18003164016,46081.76062133822,0.9102935038796872,57482.68794829861,8262.574210251607,0.8930186461834987,682246.3969198496,23754.245967347295
35,"ARMA(3,0,3)",0.9109972463194718,42781.18306718783,7579.631389047022,0.8884531677197973,212931.1332068245,43924.239371325784,0.9118798192858373,56972.17644887439,7612.68653118627,0.8930530014907061,682136.8420031812,23872.40579518817
36,"ARMA(3,0,4)",0.9146494129854867,41894.24081161888,7604.039961141743,0.8886394032157768,212753.3069965914,45679.89848002462,0.9109047638853417,57286.509688459606,7814.778639195761,0.8933666500649287,681135.8398824431,24032.41983879236
37,"ARIMA(3,1,1)",0.9472768840589928,32926.95750199705,7346.216115694518,0.8886315084546075,212760.8482940853,43378.660287187704,0.9895446736785349,19624.288378197132,5545.563155722857,0.8917494220142255,686281.5412914542,23236.79575381462
38,"ARIMA(3,1,2)",0.9575697307991976,29538.535679305893,6649.937490131092,0.8995627655326208,202049.56395888637,44103.338567375096,0.9896909895862036,19486.489610742407,5270.3741911029865,0.8919579742196696,685620.1382142521,23206.161219904843
39,"ARIMA(3,1,3)",0.9606193696417817,28457.215342928015,6255.308086690879,0.9061675576465824,195293.16997995524,41372.11505180217,0.990400475239609,18803.988966376397,4866.105090743655,0.8932201369235439,681603.616125762,22810.275286396714
40,"ARIMA(3,1,4)",0.9647026849907661,26941.508189740212,5736.207908260192,0.8920370841018034,209482.54783303163,48319.93942115231,0.9892262441547249,19920.887633812585,5794.424499655307,0.893474775646979,680790.4184529823,22833.8058359973
41,"ARIMA(3,2,1)",0.9431530077364777,34190.44979597789,7351.996061105109,0.881683683149016,219297.08831833655,50908.20320847213,0.9860414388072586,22674.90355502296,6323.869475275678,0.8816322456214524,717635.493379725,22013.73215475696
42,"ARIMA(3,2,2)",0.950142526916037,32019.621971984743,6909.361906296022,0.888377353687108,213003.4814103766,48922.62382871,0.9864155886379635,22368.946628242993,5907.419120756507,0.8816281222927836,717647.9926505359,21985.35765781373
43,"ARIMA(3,2,3)",0.9520092757251467,31414.468818758487,6709.69069369054,0.8886919716810431,212703.08530531745,49000.24741361408,0.9812592123755001,26273.567146625483,7138.82528440185,0.887021891576955,701107.0845366797,24980.377686649706
44,"ARIMA(3,2,4)",0.9372602908151706,35918.841366265355,7613.238585932324,0.8478860719627273,248653.76253443345,54650.38945089022,0.986082565801692,22641.47465997142,5993.094072336537,0.8894177834101136,693633.1672971635,25208.277892360304
45,"AR(4,0,0)",0.9019940868804057,44892.853201125494,8801.705262355486,0.8700030842190178,229867.23342537327,47176.91425861706,0.9103323017512233,57470.2560329355,8378.891489181202,0.8919951668902253,685502.118218463,24082.297459029294
46,"ARMA(4,0,1)",0.904320435390569,44356.84658540537,8681.114085932855,0.8886653561137714,212728.51417590145,45057.974011975224,0.9107150288167136,57347.475233565674,8152.332597168681,0.8923810020859022,684276.5828643283,23867.722501906544
