,Names,R2 1st Wave,RMSE 1st Wave,MAE 1st Wave,R2 2nd Wave,RMSE 2nd Wave,MAE 2nd Wave,R2 3rd+4th Wave,RMSE 3rd+4th Wave,MAE 3rd+4th Wave,R2 All Data,RMSE All Data,MAE All Data
0,"MA(0,0,1)",0.7350676744678577,26968.94856744756,2864.451785923874,0.7359021198560499,125092.79935366103,12724.792960290331,0.7246149636474657,37101.81468034397,4218.970794175321,0.7377631866471601,400984.03820498305,8123.046689130109
1,"MA(0,0,2)",0.8977922996859571,16750.907775458058,1742.1485428151132,0.9004683211903867,76794.57097001577,7626.227405692231,0.858732168842286,26573.3692030048,3057.632162941822,0.9132518909577192,230627.06076087902,4948.966498244097
2,"MA(0,0,3)",0.9628892207460161,10093.611296331981,944.2827672426389,0.9598271163570373,48788.37544092526,4420.672909924725,0.9483985937955112,16060.37757331534,1674.4940773185456,0.866876292299062,285698.4986980464,5944.108799699341
3,"MA(0,0,4)",0.9779042353940879,7788.450364170243,633.8081824384954,0.9479566816850392,55530.59713496087,4483.765317048319,0.9489731991985758,15970.707397493336,1556.4034245733928,0.8580158023055903,295053.1541546335,8468.687082340288
4,"I(0,1,0)",0.9968523450953662,2939.6125664475458,232.59540459540457,0.9946448079272038,17813.012793334823,1411.3085714285714,0.9970737829550789,3824.531573291302,367.0187353629977,0.9949359122895598,55722.53495706038,663.8853903006985
5,"I(0,2,0)",0.9984561912076694,2058.701088783123,132.86820683211906,0.9966482105031798,14092.505779722353,751.6850377919956,0.9983125127840459,2904.325101773657,174.29777857306652,0.99846020984003,30726.353716145786,316.74594245738604
6,"AR(1,0,0)",0.9879385739679298,5754.344626202654,266.3993361910624,0.9881181155702636,26533.37626237477,1563.740607265946,0.9833022109221419,9135.965863240242,445.8171907497294,0.9947242844045308,56874.93895407511,677.3750139263313
7,"ARMA(1,0,1)",0.9892836808005958,5423.995989972402,204.24213321103497,0.9900609641679083,24267.329215691043,1160.0897412753977,0.9841596112180926,8898.317567773387,359.04961439007997,0.9971982717298932,41447.01534953007,484.5993457894984
8,"ARMA(1,0,2)",0.9894979280989097,5369.502301404405,191.4168035007158,0.9904607186400314,23774.296953312234,1029.0614184815738,0.98447248237252,8810.001821373535,321.62091673493916,0.9978127129137412,36621.24883332527,418.8077426348331
9,"ARMA(1,0,3)",0.9896224073260472,5337.585556294425,176.33600290078277,0.9905672296734556,23641.198191352785,956.4908183643986,0.9846553120925309,8757.981281555813,297.5041988138913,0.9980566030091583,34519.22357442518,376.05659555157376
10,"ARMA(1,0,4)",0.9896780271910919,5323.262646736407,173.96116196447716,0.9906710166783034,23510.778616066054,916.0361731410903,0.9847493539359259,8731.102843218523,287.60360671659646,0.9983049938499222,32237.836989637948,371.1746566814148
11,"ARIMA(1,1,1)",0.998667712718231,1912.4737383658396,121.24115160326248,0.9971273223946213,13046.478356422627,763.8741620911411,0.9988425600789558,2405.3274716186115,169.1328782712546,0.9985806259549098,29500.45303820846,297.93473910284064
12,"ARIMA(1,1,2)",0.9987237521058867,1871.8198928379445,122.3132556923153,0.9971730216850151,12942.28896937494,767.4373184057166,0.9988431351119009,2404.729896596026,169.76700306339197,0.9985833417941408,29472.21634842215,300.7695892814567
13,"ARIMA(1,1,3)",0.9987249549659478,1870.937592397627,122.61648426956806,0.9971945078534206,12893.011867272735,755.9136633854836,0.9988431364678018,2404.728487366569,169.78734258350775,0.9985839442805545,29465.948605724006,301.1162620424984
14,"ARIMA(1,1,4)",0.9987250221868346,1870.8882734566646,122.72496079756469,0.997193629674524,12895.029603278832,754.8891066402969,0.9988435704911991,2404.2773510355105,169.7444780460284,0.9985852826872542,29452.020218015838,300.88061685765797
15,"ARIMA(1,2,1)",0.9985331794365572,2006.7119368759104,128.47986796117146,0.9970851453179295,13141.904528078858,783.8915241678545,0.9987804623494629,2469.0085228814714,176.70774308158042,0.9985748922557063,29559.977956139024,298.57079674958715
16,"ARIMA(1,2,2)",0.9985642915531022,1985.316111169004,129.93726231062055,0.9970832360694892,13146.207839235893,783.3718977236935,0.9987919381124598,2457.3644679566014,178.03958970585012,0.9985782928040544,29524.689336462845,297.8597470394897
17,"ARIMA(1,2,3)",0.9985642963943536,1985.3127638938222,129.92294468454253,0.997079952764488,13153.604884559154,783.1318985492796,0.9987938905920092,2455.377858615761,176.6912011874412,0.9985810233150543,29496.32335693654,300.8485869383302
18,"ARIMA(1,2,4)",0.9985796677485451,1974.6562926855897,130.07031217842683,0.9971321829606654,13035.436373138304,797.0184722145553,0.9988064272493556,2442.5835635855883,178.88270746293168,0.9985340216675963,29980.856206967273,315.34297778715876
19,"AR(2,0,0)",0.9897465694583082,5305.5588493442065,159.06788030045888,0.9907369978896841,23427.488601287765,877.2545486984545,0.9847680579030531,8725.747123800333,254.52926966531612,0.9983811203121662,31505.584617020835,325.798966669025
20,"ARMA(2,0,1)",0.9897503802488594,5304.572825574418,157.70099871867072,0.9907381890253537,23425.982274605572,878.7006095095215,0.9851132664009896,8626.30264891155,253.14318884565347,0.9983875405458821,31443.04934553782,326.47709526166557
21,"ARMA(2,0,2)",0.9898149122182973,5287.847568990843,158.30873581036224,0.9908002696101427,23347.339778377926,886.5044340283123,0.9851133806479413,8626.269547940605,252.79221748320984,0.99839412373132,31378.797456474626,335.56515711456615
22,"ARMA(2,0,3)",0.9898152412164036,5287.7621644306355,158.4443675801627,0.9909225923221409,23191.603320597085,880.3583878939642,0.9851139275794493,8626.111082749985,252.6311733758104,0.9983981949642392,31338.996300256575,340.49741134570706
23,"ARMA(2,0,4)",0.9898153658105853,5287.729820688939,158.3067048317364,0.9909369523254972,23173.252083800864,862.9828056471997,0.9851139365456905,8626.108484891996,252.57215836043062,0.9984019271294802,31302.465474294386,340.39782793986836
24,"ARIMA(2,1,1)",0.9986757682421442,1906.6831943748778,125.5498323529737,0.9971916907823374,12899.483355335207,770.4980513526086,0.9988431376282796,2404.7272812455203,169.78381126235573,0.9985967771615323,29332.128442617053,312.1646042891879
25,"ARIMA(2,1,2)",0.9987248676495232,1871.0016531877432,122.54171197932757,0.9971975203848455,12886.087763813475,750.4275319053279,0.9988543203783861,2393.0764716250133,171.1610702959811,0.9985854679210051,29450.092028293955,300.8323455310347
26,"ARIMA(2,1,3)",0.9987284160288896,1868.396571139693,122.58567692965158,0.9971966339635272,12888.125530610067,750.7928865143546,0.9988559024710392,2391.4235764346645,170.52185766072233,0.9985855033371196,29449.7233500657,300.70314721468765
27,"ARIMA(2,1,4)",0.9987422618524752,1858.1965777333262,122.61825990092736,0.9971956894131578,12890.296573978716,751.8378877222472,0.9988700894976422,2376.550271434743,172.44010125641782,0.9986345315346201,28934.840533689854,334.51569242591813
28,"ARIMA(2,2,1)",0.9985518378174204,1993.9081120079438,129.30665806915601,0.9970782055194688,13157.539604072505,784.299386700666,0.9987805267792499,2468.9433015272457,176.69486684471968,0.9985779575869913,29528.16986900279,297.6076929449463
29,"ARIMA(2,2,2)",0.9985643252312877,1985.2928257183619,129.8744622383811,0.9970796270746748,13154.338413047659,783.3892102866342,0.9988511613614902,2396.373451357381,171.82537527676254,0.9985816513178395,29489.795475468385,299.69710450223084
30,"ARIMA(2,2,3)",0.9985927815299676,1965.5192543372873,127.8787634768765,0.9971420166056078,13013.068152604594,782.6129361864499,0.9988507920015268,2396.7586461308947,174.3441964977346,0.9985806961350113,29499.72371305692,302.87530156256656
31,"ARIMA(2,2,4)",0.9986378234595759,1933.8074876374553,123.10719310686481,0.9970851480039394,13141.898473009276,757.9547739310697,0.9988615934259027,2385.468467914721,174.35504935597857,0.9985521824554515,29794.573521610426,335.6585746490923
32,"AR(3,0,0)",0.9897479904601568,5305.191193361598,158.17146602795742,0.9907377203542226,23426.574974173218,878.4905145347864,0.9849704486828225,8667.58262924669,243.99076152870913,0.9983866253173806,31451.971583084964,325.7157728529111
33,"ARMA(3,0,1)",0.9897568097228605,5302.908814416239,161.94519025240925,0.9907377801446591,23426.499361718375,876.0926951558853,0.9851133877346852,8626.267494681613,252.76525285356723,0.9983887101382756,31431.643718430747,325.9935915867999
34,"ARMA(3,0,2)",0.9898152519646621,5287.759374268836,158.43924374589108,0.9909465561955719,23160.970790585772,853.5536977369461,0.9851221109250267,8623.739733541697,254.23295087738202,0.9984023190249995,31298.627086082615,340.9806259975225
35,"ARMA(3,0,3)",0.9898202029847464,5286.473972549355,158.29896591832605,0.9909464563675029,23161.098482802485,854.2238565947874,0.9851273175391716,8622.230634567884,253.07397942014077,0.9984194549442453,31130.327963129384,349.5875420612828
36,"ARMA(3,0,4)",0.9898281072217917,5284.421197934373,158.23030119859152,0.9909466046451272,23160.908817470397,853.6453135221615,0.9851138141068297,8626.143959976678,252.55850778306402,0.9984044994680745,31277.26231550607,340.06547572279436
37,"ARIMA(3,1,1)",0.9987160829142577,1877.435511928351,124.90427360909334,0.9971981540471427,12884.630859444129,751.0417996846982,0.9988431424785957,2404.7222401532995,169.7947919901109,0.9985854859046649,29449.904820761614,300.8489119565685
